Pokedex Number,Pokemon Id,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type
13,31,"""Weedle""","""Hairy Bug Pokémon""",NULL,NULL,0.3,3.2,"""Bug""","""Poison"""
14,30,"""Kakuna""","""Cocoon Pokémon""",NULL,NULL,0.6,10,"""Bug""","""Poison"""
15,27,"""Beedrill""","""Poison Bee Pokémon""",NULL,NULL,1,29.5,"""Bug""","""Poison"""
15,28,"""Beedrill""","""Poison Bee Pokémon""","""Mega""",NULL,1.4,40.5,"""Bug""","""Poison"""
16,76,"""Pidgey""","""Tiny Bird Pokémon""",NULL,NULL,0.3,1.8,"""Normal""","""Flying"""
17,77,"""Pidgeotto""","""Bird Pokémon""",NULL,NULL,1.1,30,"""Normal""","""Flying"""
18,78,"""Pidgeot""","""Bird Pokémon""",NULL,NULL,1.5,39.5,"""Normal""","""Flying"""
18,79,"""Pidgeot""","""Bird Pokémon""","""Mega""",NULL,2.2,50.5,"""Normal""","""Flying"""
19,80,"""Rattata""","""Mouse Pokémon""",NULL,NULL,0.3,3.5,"""Normal""",NULL
19,81,"""Rattata""","""Mouse Pokémon""","""Alola""",NULL,0.3,3.8,"""Dark""","""Normal"""
20,82,"""Raticate""","""Mouse Pokémon""",NULL,NULL,0.7,18.5,"""Normal""",NULL
20,83,"""Raticate""","""Mouse Pokémon""","""Alola""",NULL,0.7,25.5,"""Dark""","""Normal"""
21,84,"""Spearow""","""Tiny Bird Pokémon""",NULL,NULL,0.3,2,"""Normal""","""Flying"""
22,85,"""Fearow""","""Beak Pokémon""",NULL,NULL,1.2,38,"""Normal""","""Flying"""
23,86,"""Ekans""","""Snake Pokémon""",NULL,NULL,2,6.9,"""Poison""",NULL
24,87,"""Arbok""","""Cobra Pokémon""",NULL,NULL,3.5,65,"""Poison""",NULL
25,89,"""Pikachu""","""Mouse Pokémon""",NULL,NULL,0.4,6,"""Electric""",NULL
25,1523,"""Pikachu""","""Mouse Pokémon""","""Gigantamax""",NULL,21,0,"""Electric""",NULL
25,1595,"""Pikachu""","""Mouse Pokémon""","""Starter""",NULL,0.4,6,"""Electric""",NULL
26,90,"""Raichu""","""Mouse Pokémon""",NULL,NULL,0.8,30,"""Electric""",NULL
26,90,"""Raichu""","""Mouse Pokémon""",NULL,NULL,0.8,30,"""Electric""",NULL
26,90,"""Raichu""","""Mouse Pokémon""",NULL,NULL,0.8,30,"""Electric""",NULL
26,91,"""Raichu""","""Mouse Pokémon""","""Alola""",NULL,0.7,21,"""Electric""","""Psychic"""
27,92,"""Sandshrew""","""Mouse Pokémon""",NULL,NULL,0.6,12,"""Ground""",NULL
27,93,"""Sandshrew""","""Mouse Pokémon""","""Alola""",NULL,0.7,40,"""Ice""","""Steel"""
28,94,"""Sandslash""","""Mouse Pokémon""",NULL,NULL,1,29.5,"""Ground""",NULL
28,95,"""Sandslash""","""Mouse Pokémon""","""Alola""",NULL,1.2,55,"""Ice""","""Steel"""
29,33,"""Nidoran (Female)""","""Poison Pin Pokémon""",NULL,NULL,0.4,7,"""Poison""",NULL
30,17,"""Nidorina""","""Poison Pin Pokémon""",NULL,NULL,0.8,20,"""Poison""",NULL
31,18,"""Nidoqueen""","""Drill Pokémon""",NULL,NULL,1.3,60,"""Poison""","""Ground"""
32,48,"""Nidoran (Male)""","""Poison Pin Pokémon""",NULL,NULL,0.5,9,"""Poison""",NULL
33,49,"""Nidorino""","""Poison Pin Pokémon""",NULL,NULL,0.9,19.5,"""Poison""",NULL
34,50,"""Nidoking""","""Drill Pokémon""",NULL,NULL,1.4,62,"""Poison""","""Ground"""
35,52,"""Clefairy""","""Fairy Pokémon""",NULL,NULL,0.6,7.5,"""Fairy""",NULL
36,53,"""Clefable""","""Fairy Pokémon""",NULL,NULL,1.3,40,"""Fairy""",NULL
37,54,"""Vulpix""","""Fox Pokémon""",NULL,NULL,0.6,9.9,"""Fire""",NULL
37,55,"""Vulpix""","""Fox Pokémon""","""Alola""",NULL,0.6,9.9,"""Ice""",NULL
38,56,"""Ninetales""","""Fox Pokémon""",NULL,NULL,1.1,19.9,"""Fire""",NULL
38,57,"""Ninetales""","""Fox Pokémon""","""Alola""",NULL,1.1,19.9,"""Ice""","""Fairy"""
39,59,"""Jigglypuff""","""Balloon Pokémon""",NULL,NULL,0.5,5.5,"""Normal""","""Fairy"""
40,60,"""Wigglytuff""","""Balloon Pokémon""",NULL,NULL,1,12,"""Normal""","""Fairy"""
41,61,"""Zubat""","""Bat Pokémon""",NULL,NULL,0.8,7.5,"""Poison""","""Flying"""
42,62,"""Golbat""","""Bat Pokémon""",NULL,NULL,1.6,55,"""Poison""","""Flying"""
43,64,"""Oddish""","""Weed Pokémon""",NULL,NULL,0.5,5.4,"""Grass""","""Poison"""
44,65,"""Gloom""","""Weed Pokémon""",NULL,NULL,0.8,8.6,"""Grass""","""Poison"""
45,66,"""Vileplume""","""Flower Pokémon""",NULL,NULL,1.2,18.6,"""Grass""","""Poison"""
46,68,"""Paras""","""Mushroom Pokémon""",NULL,NULL,0.3,5.4,"""Bug""","""Grass"""
47,69,"""Parasect""","""Mushroom Pokémon""",NULL,NULL,1,29.5,"""Bug""","""Grass"""
48,70,"""Venonat""","""Insect Pokémon""",NULL,NULL,1,30,"""Bug""","""Poison"""
49,71,"""Venomoth""","""Poison Moth Pokémon""",NULL,NULL,1.5,12.5,"""Bug""","""Poison"""
50,72,"""Diglett""","""Mole Pokémon""",NULL,NULL,0.2,0.8,"""Ground""",NULL
50,74,"""Diglett""","""Mole Pokémon""","""Alola""",NULL,0.2,1,"""Ground""","""Steel"""
51,75,"""Dugtrio""","""Mole Pokémon""","""Alola""",NULL,0.7,66.6,"""Ground""","""Steel"""
51,73,"""Dugtrio""","""Mole Pokémon""",NULL,NULL,0.7,33.3,"""Ground""",NULL
52,1524,"""Meowth""","""Scratch Cat Pokémon""","""Gigantamax""",NULL,33,0,"""Normal""",NULL
52,96,"""Meowth""","""Scratch Cat Pokémon""",NULL,NULL,0.4,4.2,"""Normal""",NULL
52,97,"""Meowth""","""Scratch Cat Pokémon""","""Alola""",NULL,0.4,4.2,"""Dark""",NULL
52,98,"""Meowth""","""Scratch Cat Pokémon""","""Galar""",NULL,0.4,7.5,"""Steel""",NULL
53,100,"""Persian""","""Classy Cat Pokémon""",NULL,NULL,1,32,"""Normal""",NULL
53,101,"""Persian""","""Classy Cat Pokémon""","""Alola""",NULL,1.1,33,"""Dark""",NULL
54,102,"""Psyduck""","""Duck Pokémon""",NULL,NULL,0.8,19.6,"""Water""",NULL
55,884,"""Golduck""","""Duck Pokémon""",NULL,NULL,1.7,76.6,"""Water""",NULL
56,895,"""Mankey""","""Pig Monkey Pokémon""",NULL,NULL,0.5,28,"""Fighting""",NULL
57,924,"""Primeape""","""Pig Monkey Pokémon""",NULL,NULL,1,32,"""Fighting""",NULL
58,949,"""Growlithe""","""Puppy Pokémon""",NULL,NULL,0.7,19,"""Fire""",NULL
58,1615,"""Growlithe""","""Scout Pokémon""","""Hisui""",NULL,0.8,22.7,"""Fire""","""Rock"""
59,1624,"""Arcanine""","""Legendary Pokémon""","""Hisui""",NULL,2,168,"""Fire""","""Rock"""
59,960,"""Arcanine""","""Legendary Pokémon""",NULL,NULL,1.9,155,"""Fire""",NULL
60,971,"""Poliwag""","""Tadpole Pokémon""",NULL,NULL,0.6,12.4,"""Water""",NULL
61,982,"""Poliwhirl""","""Tadpole Pokémon""",NULL,NULL,1,20,"""Water""",NULL
62,993,"""Poliwrath""","""Tadpole Pokémon""",NULL,NULL,1.3,54,"""Water""","""Fighting"""
63,1004,"""Abra""","""Psi Pokémon""",NULL,NULL,0.9,19.5,"""Psychic""",NULL
64,1015,"""Kadabra""","""Psi Pokémon""",NULL,NULL,1.3,56.5,"""Psychic""",NULL
65,1026,"""Alakazam""","""Psi Pokémon""",NULL,NULL,1.5,48,"""Psychic""",NULL
65,1026,"""Alakazam""","""Psi Pokémon""",NULL,NULL,1.5,48,"""Psychic""",NULL
65,1360,"""Alakazam""","""Psi Pokémon""","""Mega""",NULL,1.2,48,"""Psychic""",NULL
66,1076,"""Machop""","""Superpower Pokémon""",NULL,NULL,0.8,19.5,"""Fighting""",NULL
67,1087,"""Machoke""","""Superpower Pokémon""",NULL,NULL,1.5,70.5,"""Fighting""",NULL
68,1097,"""Machamp""","""Superpower Pokémon""",NULL,NULL,1.6,130,"""Fighting""",NULL
68,1097,"""Machamp""","""Superpower Pokémon""",NULL,NULL,1.6,130,"""Fighting""",NULL
68,1550,"""Machamp""","""Superpower Pokémon""","""Gigantamax""",NULL,25,0,"""Fighting""",NULL
69,1109,"""Bellsprout""","""Flower Pokémon""",NULL,NULL,0.7,4,"""Grass""","""Poison"""
70,1128,"""Weepinbell""","""Flycatcher Pokémon""",NULL,NULL,1,6.4,"""Grass""","""Poison"""
71,1139,"""Victreebel""","""Flycatcher Pokémon""",NULL,NULL,1.7,15.5,"""Grass""","""Poison"""
72,1150,"""Tentacool""","""Jellyfish Pokémon""",NULL,NULL,0.9,45.5,"""Water""","""Poison"""
73,1254,"""Tentacruel""","""Jellyfish Pokémon""",NULL,NULL,1.6,55,"""Water""","""Poison"""
74,1361,"""Geodude""","""Rock Pokémon""","""Alola""",NULL,0.4,20.3,"""Rock""","""Electric"""
74,1265,"""Geodude""","""Rock Pokémon""",NULL,NULL,0.4,20,"""Rock""","""Ground"""
75,1276,"""Graveler""","""Rock Pokémon""",NULL,NULL,1,105,"""Rock""","""Ground"""
75,1362,"""Graveler""","""Rock Pokémon""","""Alola""",NULL,1,110,"""Rock""","""Electric"""
76,1363,"""Golem""","""Megaton Pokémon""","""Alola""",NULL,1.7,316,"""Rock""","""Electric"""
76,1287,"""Golem""","""Megaton Pokémon""",NULL,NULL,1.4,300,"""Rock""","""Ground"""
76,1287,"""Golem""","""Megaton Pokémon""",NULL,NULL,1.4,300,"""Rock""","""Ground"""
77,1297,"""Ponyta""","""Fire Horse Pokémon""",NULL,NULL,1,30,"""Fire""",NULL
77,1364,"""Ponyta""","""Unique Horn Pokémon""","""Galar""",NULL,0.8,24,"""Psychic""",NULL
78,1365,"""Rapidash""","""Unique Horn Pokémon""","""Galar""",NULL,1.7,80,"""Psychic""","""Fairy"""
78,1308,"""Rapidash""","""Fire Horse Pokémon""",NULL,NULL,1.7,95,"""Fire""",NULL
79,1319,"""Slowpoke""","""Dopey Pokémon""",NULL,NULL,1.2,36,"""Water""","""Psychic"""
79,1366,"""Slowpoke""","""Dopey Pokémon""","""Galar""",NULL,1.2,36,"""Psychic""",NULL
80,1367,"""Slowbro""","""Hermit Crab Pokémon""","""Mega""",NULL,2,120,"""Water""","""Psychic"""
80,1368,"""Slowbro""","""Hermit Crab Pokémon""","""Galar""",NULL,1.6,70.5,"""Poison""","""Psychic"""
80,1330,"""Slowbro""","""Hermit Crab Pokémon""",NULL,NULL,1.6,78.5,"""Water""","""Psychic"""
81,46,"""Magnemite""","""Magnet Pokémon""",NULL,NULL,0.3,6,"""Electric""","""Steel"""
82,1341,"""Magneton""","""Magnet Pokémon""",NULL,NULL,1,60,"""Electric""","""Steel"""
83,1342,"""Farfetch'd""","""Wild Duck Pokémon""",NULL,NULL,0.8,15,"""Normal""","""Flying"""
83,1369,"""Farfetch'd""","""Wild Bull Pokémon""","""Galar""",NULL,0.8,42,"""Fighting""",NULL
84,1343,"""Doduo""","""Twin Bird Pokémon""",NULL,NULL,1.4,39.2,"""Normal""","""Flying"""
85,1344,"""Dodrio""","""Triple Bird Pokémon""",NULL,NULL,1.8,85.2,"""Normal""","""Flying"""
86,1345,"""Seel""","""Sea Lion Pokémon""",NULL,NULL,1.1,90,"""Water""",NULL
87,1346,"""Dewgong""","""Sea Lion Pokémon""",NULL,NULL,1.7,120,"""Water""","""Ice"""
88,1347,"""Grimer""","""Sludge Pokémon""",NULL,NULL,0.9,30,"""Poison""",NULL
88,1372,"""Grimer""","""Sludge Pokémon""","""Alola""",NULL,0.7,42,"""Poison""","""Dark"""
89,1373,"""Muk""","""Sludge Pokémon""","""Alola""",NULL,1,52,"""Poison""","""Dark"""
89,1348,"""Muk""","""Sludge Pokémon""",NULL,NULL,1.2,30,"""Poison""",NULL
90,1349,"""Shellder""","""Bivalve Pokémon""",NULL,NULL,0.3,4,"""Water""",NULL
91,1350,"""Cloyster""","""Bivalve Pokémon""",NULL,NULL,1.5,132.5,"""Water""","""Ice"""
92,1351,"""Gastly""","""Gas Pokémon""",NULL,NULL,1.3,0.1,"""Ghost""","""Poison"""
93,1352,"""Haunter""","""Gas Pokémon""",NULL,NULL,1.6,0.1,"""Ghost""","""Poison"""
94,1353,"""Gengar""","""Shadow Pokémon""",NULL,NULL,1.5,40.5,"""Ghost""","""Poison"""
94,1353,"""Gengar""","""Shadow Pokémon""",NULL,NULL,1.5,40.5,"""Ghost""","""Poison"""
94,1371,"""Gengar""","""Shadow Pokémon""","""Mega""",NULL,1.4,40.5,"""Ghost""","""Poison"""
94,1549,"""Gengar""","""Shadow Pokémon""","""Gigantamax""",NULL,20,0,"""Ghost""","""Poison"""
95,1354,"""Onix""","""Rock Snake Pokémon""",NULL,NULL,8.8,210,"""Rock""","""Ground"""
96,1355,"""Drowzee""","""Hypnosis Pokémon""",NULL,NULL,1,32.4,"""Psychic""",NULL
97,1356,"""Hypno""","""Hypnosis Pokémon""",NULL,NULL,1.6,75.6,"""Psychic""",NULL
98,1357,"""Krabby""","""River Crab Pokémon""",NULL,NULL,0.4,6.5,"""Water""",NULL
99,1358,"""Kingler""","""Pincer Pokémon""",NULL,NULL,1.3,60,"""Water""",NULL
99,1548,"""Kingler""","""Pincer Pokémon""","""Gigantamax""",NULL,19,0,"""Water""",NULL
100,1620,"""Voltorb""","""Sphere Pokémon""","""Hisui""",NULL,0.5,13,"""Electric""","""Grass"""
100,47,"""Voltorb""","""Ball Pokémon""",NULL,NULL,0.5,10.5,"""Electric""",NULL
101,105,"""Electrode""","""Ball Pokémon""",NULL,NULL,1.2,66.6,"""Electric""",NULL
101,1632,"""Electrode""","""Sphere Pokémon""","""Hisui""",NULL,1.2,71,"""Electric""","""Grass"""
102,136,"""Exeggcute""","""Egg Pokémon""",NULL,NULL,0.4,2.5,"""Grass""","""Psychic"""
103,137,"""Exeggutor""","""Coconut Pokémon""",NULL,NULL,2,120,"""Grass""","""Psychic"""
103,137,"""Exeggutor""","""Coconut Pokémon""",NULL,NULL,2,120,"""Grass""","""Psychic"""
103,137,"""Exeggutor""","""Coconut Pokémon""",NULL,NULL,2,120,"""Grass""","""Psychic"""
103,1359,"""Exeggutor""","""Coconut Pokémon""","""Alola""",NULL,10.9,415.6,"""Grass""","""Dragon"""
104,138,"""Cubone""","""Lonely Pokémon""",NULL,NULL,0.4,6.5,"""Ground""",NULL
105,139,"""Marowak""","""Bone Keeper Pokémon""",NULL,NULL,1,45,"""Ground""",NULL
105,139,"""Marowak""","""Bone Keeper Pokémon""",NULL,NULL,1,45,"""Ground""",NULL
105,139,"""Marowak""","""Bone Keeper Pokémon""",NULL,NULL,1,45,"""Ground""",NULL
105,1374,"""Marowak""","""Bone Keeper Pokémon""","""Alola""",NULL,1,34,"""Ghost""","""Fire"""
106,140,"""Hitmonlee""","""Kicking Pokémon""",NULL,NULL,1.5,49.8,"""Fighting""",NULL
107,141,"""Hitmonchan""","""Punching Pokémon""",NULL,NULL,1.4,50.2,"""Fighting""",NULL
108,142,"""Lickitung""","""Licking Pokémon""",NULL,NULL,1.2,65.5,"""Normal""",NULL
109,143,"""Koffing""","""Poison Gas Pokémon""",NULL,NULL,0.6,1,"""Poison""",NULL
110,144,"""Weezing""","""Poison Gas Pokémon""",NULL,NULL,1.2,9.5,"""Poison""",NULL
110,1375,"""Weezing""","""Poison Gas Pokémon""","""Galar""",NULL,3,16,"""Poison""","""Fairy"""
111,145,"""Rhyhorn""","""Spikes Pokémon""",NULL,NULL,1,115,"""Ground""","""Rock"""
112,146,"""Rhydon""","""Drill Pokémon""",NULL,NULL,1.9,120,"""Ground""","""Rock"""
113,147,"""Chansey""","""Egg Pokémon""",NULL,NULL,1.1,34.6,"""Normal""",NULL
114,148,"""Tangela""","""Vine Pokémon""",NULL,NULL,1,35,"""Grass""",NULL
115,211,"""Kangaskhan""","""Parent Pokémon""",NULL,NULL,2.2,80,"""Normal""",NULL
115,1379,"""Kangaskhan""","""Parent Pokémon""","""Mega""",NULL,2.2,100,"""Normal""",NULL
116,212,"""Horsea""","""Dragon Pokémon""",NULL,NULL,0.4,8,"""Water""",NULL
117,213,"""Seadra""","""Dragon Pokémon""",NULL,NULL,1.2,25,"""Water""",NULL
118,214,"""Goldeen""","""Goldfish Pokémon""",NULL,NULL,0.6,15,"""Water""",NULL
119,215,"""Seaking""","""Goldfish Pokémon""",NULL,NULL,1.3,39,"""Water""",NULL
120,216,"""Staryu""","""Star Shape Pokémon""",NULL,NULL,0.8,34.5,"""Water""",NULL
121,217,"""Starmie""","""Mysterious Pokémon""",NULL,NULL,1.1,80,"""Water""","""Psychic"""
122,218,"""Mr. Mime""","""Barrier Pokémon""",NULL,NULL,1.3,54.5,"""Psychic""","""Fairy"""
122,1377,"""Mr. Mime""","""Dancing Pokémon""","""Galar""",NULL,1.4,56,"""Ice""","""Psychic"""
123,219,"""Scyther""","""Mantis Pokémon""",NULL,NULL,1.5,56,"""Bug""","""Flying"""
124,220,"""Jynx""","""Human Shape Pokémon""",NULL,NULL,1.4,40.6,"""Ice""","""Psychic"""
125,221,"""Electabuzz""","""Electric Pokémon""",NULL,NULL,1.1,30,"""Electric""",NULL
126,222,"""Magmar""","""Spitfire Pokémon""",NULL,NULL,1.3,44.5,"""Fire""",NULL
127,223,"""Pinsir""","""Stag Beetle Pokémon""",NULL,NULL,1.5,55,"""Bug""",NULL
127,1380,"""Pinsir""","""Stag Beetle Pokémon""","""Mega""",NULL,1.7,59,"""Bug""","""Flying"""
128,1671,"""Tauros""","""Wild Bull Pokémon""","""Paldean Combat Breed""",NULL,1.4,115,"""Fighting""",NULL
128,1672,"""Tauros""","""Wild Bull Pokémon""","""Paldean Blaze Breed""",NULL,1.4,85,"""Fighting""","""Fire"""
128,1673,"""Tauros""","""Wild Bull Pokémon""","""Paldean Aqua Breed""",NULL,1.4,110,"""Fighting""","""Water"""
128,224,"""Tauros""","""Wild Bull Pokémon""",NULL,NULL,1.4,88.4,"""Normal""",NULL
129,225,"""Magikarp""","""Fish Pokémon""",NULL,NULL,0.9,10,"""Water""",NULL
130,226,"""Gyarados""","""Atrocious Pokémon""",NULL,NULL,6.5,235,"""Water""","""Flying"""
130,1381,"""Gyarados""","""Atrocious Pokémon""","""Mega""",NULL,6.5,305,"""Water""","""Dark"""
131,1547,"""Lapras""","""Transport Pokémon""","""Gigantamax""",NULL,24,0,"""Water""","""Ice"""
131,227,"""Lapras""","""Transport Pokémon""",NULL,NULL,2.5,220,"""Water""","""Ice"""
132,29,"""Ditto""","""Transform Pokémon""",NULL,NULL,0.3,4,"""Normal""",NULL
133,228,"""Eevee""","""Evolution Pokémon""",NULL,NULL,0.3,6.5,"""Normal""",NULL
133,1546,"""Eevee""","""Evolution Pokémon""","""Gigantamax""",NULL,18,0,"""Normal""",NULL
133,1596,"""Eevee""","""Evolution Pokémon""","""Starter""",NULL,0.3,6.5,"""Normal""",NULL
134,229,"""Vaporeon""","""Bubble Jet Pokémon""",NULL,NULL,1,29,"""Water""",NULL
135,230,"""Jolteon""","""Lightning Pokémon""",NULL,NULL,0.8,24.5,"""Electric""",NULL
136,231,"""Flareon""","""Flame Pokémon""",NULL,NULL,0.9,25,"""Fire""",NULL
137,232,"""Porygon""","""Virtual Pokémon""",NULL,NULL,0.8,36.5,"""Normal""",NULL
138,233,"""Omanyte""","""Spiral Pokémon""",NULL,NULL,0.4,7.5,"""Rock""","""Water"""
139,234,"""Omastar""","""Spiral Pokémon""",NULL,NULL,1,35,"""Rock""","""Water"""
140,235,"""Kabuto""","""Shellfish Pokémon""",NULL,NULL,0.5,11.5,"""Rock""","""Water"""
141,236,"""Kabutops""","""Shellfish Pokémon""",NULL,NULL,1.3,40.5,"""Rock""","""Water"""
142,237,"""Aerodactyl""","""Fossil Pokémon""",NULL,NULL,1.8,59,"""Rock""","""Flying"""
142,1382,"""Aerodactyl""","""Fossil Pokémon""","""Mega""",NULL,2.1,79,"""Rock""","""Flying"""
143,1545,"""Snorlax""","""Sleeping Pokémon""","""Gigantamax""",NULL,35,0,"""Normal""",NULL
143,238,"""Snorlax""","""Sleeping Pokémon""",NULL,NULL,2.1,460,"""Normal""",NULL
144,239,"""Articuno""","""Freeze Pokémon""",NULL,"""Sub-Legendary""",1.7,55.4,"""Ice""","""Flying"""
144,1385,"""Articuno""","""Cruel Pokémon""","""Galar""","""Sub-Legendary""",1.7,50.9,"""Psychic""","""Flying"""
145,1386,"""Zapdos""","""Strong Legs Pokémon""","""Galar""","""Sub-Legendary""",1.6,58.2,"""Fighting""","""Flying"""
145,240,"""Zapdos""","""Electric Pokémon""",NULL,"""Sub-Legendary""",1.6,52.6,"""Electric""","""Flying"""
146,241,"""Moltres""","""Flame Pokémon""",NULL,"""Sub-Legendary""",2,60,"""Fire""","""Flying"""
146,1387,"""Moltres""","""Malevolent Pokémon""","""Galar""","""Sub-Legendary""",2,66,"""Dark""","""Flying"""
147,242,"""Dratini""","""Dragon Pokémon""",NULL,NULL,1.8,3.3,"""Dragon""",NULL
148,243,"""Dragonair""","""Dragon Pokémon""",NULL,NULL,4,16.5,"""Dragon""",NULL
149,244,"""Dragonite""","""Dragon Pokémon""",NULL,NULL,2.2,210,"""Dragon""","""Flying"""
150,43,"""Mewtwo""","""Genetic Pokémon""",NULL,"""Legendary""",2,122,"""Psychic""",NULL
150,44,"""Mewtwo""","""Genetic Pokémon""","""Mega X""","""Legendary""",2.3,127,"""Psychic""",NULL
150,45,"""Mewtwo""","""Genetic Pokémon""","""Mega Y""","""Legendary""",1.5,33,"""Psychic""",NULL
151,42,"""Mew""","""New Species Pokémon""",NULL,"""Mythical""",0.4,4,"""Psychic""",NULL
152,245,"""Chikorita""","""Leaf Pokémon""",NULL,NULL,0.9,6.4,"""Grass""",NULL
153,246,"""Bayleef""","""Leaf Pokémon""",NULL,NULL,1.2,15.8,"""Grass""",NULL
154,247,"""Meganium""","""Herb Pokémon""",NULL,NULL,1.8,100.5,"""Grass""",NULL
155,248,"""Cyndaquil""","""Fire Mouse Pokémon""",NULL,NULL,0.5,7.9,"""Fire""",NULL
156,249,"""Quilava""","""Volcano Pokémon""",NULL,NULL,0.9,19,"""Fire""",NULL
157,250,"""Typhlosion""","""Volcano Pokémon""",NULL,NULL,1.7,79.5,"""Fire""",NULL
157,1628,"""Typhlosion""","""Ghost Flame Pokémon""","""Hisui""",NULL,1.6,69.8,"""Fire""","""Ghost"""
158,251,"""Totodile""","""Big Jaw Pokémon""",NULL,NULL,0.6,9.5,"""Water""",NULL
159,252,"""Croconaw""","""Big Jaw Pokémon""",NULL,NULL,1.1,25,"""Water""",NULL
160,253,"""Feraligatr""","""Big Jaw Pokémon""",NULL,NULL,2.3,88.8,"""Water""",NULL
161,254,"""Sentret""","""Scout Pokémon""",NULL,NULL,0.8,6,"""Normal""",NULL
162,255,"""Furret""","""Long Body Pokémon""",NULL,NULL,1.8,32.5,"""Normal""",NULL
163,256,"""Hoothoot""","""Owl Pokémon""",NULL,NULL,0.7,21.2,"""Normal""","""Flying"""
164,257,"""Noctowl""","""Owl Pokémon""",NULL,NULL,1.6,40.8,"""Normal""","""Flying"""
165,258,"""Ledyba""","""Five Star Pokémon""",NULL,NULL,1,10.8,"""Bug""","""Flying"""
166,259,"""Ledian""","""Five Star Pokémon""",NULL,NULL,1.4,35.6,"""Bug""","""Flying"""
167,260,"""Spinarak""","""String Spit Pokémon""",NULL,NULL,0.5,8.5,"""Bug""","""Poison"""
168,261,"""Ariados""","""Long Leg Pokémon""",NULL,NULL,1.1,33.5,"""Bug""","""Poison"""
169,63,"""Crobat""","""Bat Pokémon""",NULL,NULL,1.8,75,"""Poison""","""Flying"""
170,262,"""Chinchou""","""Angler Pokémon""",NULL,NULL,0.5,12,"""Water""","""Electric"""
171,263,"""Lanturn""","""Light Pokémon""",NULL,NULL,1.2,22.5,"""Water""","""Electric"""
172,88,"""Pichu""","""Tiny Mouse Pokémon""",NULL,NULL,0.3,2,"""Electric""",NULL
173,51,"""Cleffa""","""Star Shape Pokémon""",NULL,NULL,0.3,3,"""Fairy""",NULL
174,58,"""Igglybuff""","""Balloon Pokémon""",NULL,NULL,0.3,1,"""Normal""","""Fairy"""
175,264,"""Togepi""","""Spike Ball Pokémon""",NULL,NULL,0.3,1.5,"""Fairy""",NULL
176,265,"""Togetic""","""Happiness Pokémon""",NULL,NULL,0.6,3.2,"""Fairy""","""Flying"""
177,266,"""Natu""","""Tiny Bird Pokémon""",NULL,NULL,0.2,2,"""Psychic""","""Flying"""
178,267,"""Xatu""","""Mystic Pokémon""",NULL,NULL,1.5,15,"""Psychic""","""Flying"""
179,278,"""Mareep""","""Wool Pokémon""",NULL,NULL,0.6,7.8,"""Electric""",NULL
180,279,"""Flaaffy""","""Wool Pokémon""",NULL,NULL,0.8,13.3,"""Electric""",NULL
181,280,"""Ampharos""","""Light Pokémon""",NULL,NULL,1.4,61.5,"""Electric""",NULL
181,1394,"""Ampharos""","""Light Pokémon""","""Mega""",NULL,1.4,61.5,"""Electric""","""Dragon"""
